_id,title,lpNumber,aliases,areaName
561dd2a1f89701aedbaebc8c,Century Building,LP-01539,Barnes & Noble Bookstore,The Century Building
64697c2a9e866c1d68eb5770,Everett Building,LP-01540,,The Everett Building
6446e215e7abb0665474a222,Germania Life Insurance Company Building,LP-01541,W Hotel,Germania Life Insurance Company Building (now Guardian Life Building)
646813a09e866c1d68eb5709,Bryant Park Studios,LP-01542,,Bryant Park Studios
6451d7be3879cf70e53ff078,Fire Engine Company No. 65,LP-01545,,Fire Engine Company No. 65
644f2fed3879cf70e53ff039,General Society of Mechanics and Tradesmen,LP-01546,,Mechanics' and Tradesmen's Institute (Formerly Berkeley School)
6448bc7de7abb0665474a263,Algonquin Hotel,LP-01547,,Algonquin Hotel
645be81ae6fcaf3f17faafd3,St. Regis Hotel,LP-01552,,St. Regis Hotel
645711d94673c82a34f4ece1,Carroll Street Bridge,LP-01553,,Coney Island (Riegelmann) Boardwalk
647d20e4426b0f007933ddfc,Louis Armstrong House,LP-01555,,The Louis Armstrong House
6449859be7abb0665474a280,Knickerbocker Hotel,LP-01556,,
644b1d58e7abb0665474a294,Trinity Building,LP-01557,,Trinity Building
646facda9e866c1d68eb5845,United States Realty Building,LP-01558,,U.S. Realty Building
646832ed9e866c1d68eb570d,Bush Tower,LP-01561,,Bush Tower
64496b72e7abb0665474a272,Church of Saint Mary-the-Virgin Complex,LP-01562,,"The Free Church of Saint Mary-The-Virgin (Church, Clergy House, Mission House, Rectory and Lady Chapel)"
6451d8543879cf70e53ff079,Fire Engine Company No. 23,LP-01563,,Engine Company Number 23
645bee00e6fcaf3f17faafde,Helen Miller Gould Carriage House,LP-01564,,(Former) Helen Miller Gould Stable
6448b139e7abb0665474a260,Paramount Building,LP-01566,,Paramount Building
6461b9f4e6fcaf3f17fab0b5,Normandy Apartments,LP-01568,,Normandy Apartments
645b18344673c82a34f4ed81,Rodin Studios,LP-01571,,Rodin Studios
648000a0426b0f007933de3e,Eleventh District Municipal Court/Seventh District Magistrates' Court,LP-01575,,"Former Eleventh Judicial District Courthouse (Eleventh District
Municipal Court/Seventh District Magistrates' Court) (now*"
6472a9ca426b0f007933dca0,"Roosevelt Hospital, William J. Syms Operating Theater",LP-01578,,William J. Syms Operating Theater
646c4a209e866c1d68eb57cb,5 West 16th Street Building,LP-01581,,5 West 16th Street Building
646c4b1d9e866c1d68eb57cd,7 West 16th Street Building,LP-01582,,7 West 16th Street Building
646c4ba09e866c1d68eb57ce,9 West 16th Street Building,LP-01583,,9 West 16th Street Building
646c4c3e9e866c1d68eb57cf,19 West 16th Street Building,LP-01585,,19 West 16th Street Building
644720e1e7abb0665474a231,21 West 16th Street Building,LP-01586,,21 West 16th Street Building
646c4cd19e866c1d68eb57d0,23 West 16th Street Building,LP-01587,,23 West 16th Street Building
6452dcfd3879cf70e53ff092,"New York Public Library, Bloomingdale Branch",LP-01616,,"New York Free Circulating Library, Bloomingdale Branch / now Ukranian Academy of Arts and Sciences"
6461bbe0e6fcaf3f17fab0b7,William and Clara Baumgarten House,LP-01618,,294 Riverside Drive House (William Baumgarten Residence)
6473a1c6426b0f007933dcb2,856 West End Avenue House,LP-01620,,856 West End Avenue House
6472e76b426b0f007933dcb1,858 West End Avenue House,LP-01621,,858 West End Avenue House
6473ae92426b0f007933dcbd,254 West 102nd Street House,LP-01622,,254 West 102nd Street House
648ff55b13f51e5a4696f25a,Howard E. and Jessie Jones House,LP-01623,,8200 Narrows Avenue House
6477fc44426b0f007933dcef,Tiffany & Co. Building,LP-01624,,Former Tiffany Building
644065504ac6203737fd6e93,Hearst Magazine Building,LP-01625,,Hearst Magazine Building
64330c6ba90bce6b6c83bae1,Public School 20 Annex,LP-01627,,Public School 20 Annex
64619668e6fcaf3f17fab096,Herman Ridder Junior High School,LP-01628,,Herman Ridder Junior High School (Public School 98)
646199abe6fcaf3f17fab097,Macomb's Dam Bridge and 155th Street Viaduct,LP-01629,,Coney Island (Riegelmann) Boardwalk
6471b2b7426b0f007933dc87,160 East 92nd Street House,LP-01630,,160 East 92nd Street House
646986ef9e866c1d68eb5776,New York House and School of Industry,LP-01632,Young Adults Institute,The New York House and School of Industry
64484f2ae7abb0665474a247,New York County National Bank,LP-01633,Manufacturers Hanover Trust Company Building,Manufacturers Hanover Trust Company Building
64477c17e7abb0665474a240,New York Savings Bank,LP-01634,,Former New York Bank for Savings
5608b1e8f89701aedbaebbb2,Cyclone Roller Coaster,LP-01636,,The Cyclone
556d067e083cd88a44265da9,Parachute Jump,LP-01638,,The Parachute Jump
64a121c4fc95c50bc98dcf75,John King Vanderbilt House,LP-01639,,John King Vanderbilt House
64a122c1fc95c50bc98dcf76,Dorothy Valentine Smith House,LP-01640,John Frederick Smith House,Coney Island (Riegelmann) Boardwalk
6473a355426b0f007933dcb3,854 West End Avenue House,LP-01644,,354 Central Park West House
6473aa71426b0f007933dcb9,355 Central Park West House,LP-01645,,355 Central Park West House
646fd41e9e866c1d68eb585a,90-94 Maiden Lane Building,LP-01648,,90-94 Maiden Lane Building
646e2aef9e866c1d68eb5826,287 Broadway Building,LP-01649,,287 Broadway Building
646d015f9e866c1d68eb57df,319 Broadway Building,LP-01650,,319 Broadway Building
6463daac6117d262815b1074,Condict Store,LP-01651,55 White Street Building,55 White Street
64a7219afc95c50bc98dcfb1,Gustave A. Mayer House,LP-01652,David R. Ryers House,Gustave A. Mayer House
64333382a90bce6b6c83baf3,Pepsi-Cola Sign,LP-01653,,Pepsi-Cola Sign
56020f28f58614cf075b771b,Jeffrey's Hook Lighthouse,LP-01654,The Little Red Lighthouse,"Jeffrey's Hook Lighthouse (""The Little Red Lighthouse"")"
64488ae0e7abb0665474a254,Claremont Stables,LP-01658,Claremenont Riding Academy,Claremont Stables (now Claremont Riding Academy)
645f044ce6fcaf3f17fab052,Trinity School,LP-01659,Trinity School and the Former St. Agnes Parish House | Saint Agnes Parish House,Coney Island (Riegelmann) Boardwalk
645f0532e6fcaf3f17fab053,Marseilles Hotel,LP-01660,,Hotel Marseilles
645f05d1e6fcaf3f17fab054,Master Building,LP-01661,,Master Building
6445dbfae7abb0665474a21e,Seagram Building,LP-01664,,"Seagram Building, Including the Plaza"
645bf00be6fcaf3f17faafe1,Beaux-Arts Institute of Design,LP-01667,,Beaux-Arts Institute of Design
6491f6ee13f51e5a4696f267,Beaux-Arts Apartments,LP-01668,,Beaux-Arts Apartments
6491f75d13f51e5a4696f268,Beaux-Arts Apartments,LP-01669,,Beaux-Arts Apartments
645effb6e6fcaf3f17fab050,First Battery Armory,LP-01670,102nd Medical Battalion Armory,First Battery Armory (Later the 102nd Medical Battalion Armory)
6461ab4ee6fcaf3f17fab0a6,Riverside Drive - 103 Riverside Drive House,LP-01672,,103 Riverside Drive House
6461abe1e6fcaf3f17fab0a8,Riverside Drive - 104 Riverside Drive House,LP-01673,,104 Riverside Drive House
6461ac82e6fcaf3f17fab0a9,Riverside Drive - 105 Riverside Drive House,LP-01674,,105 Riverside Drive House
6461ae0de6fcaf3f17fab0aa,Riverside Drive - 107-109 Riverside Drive House,LP-01675,,107-109 Riverside Drive House
6473ad20426b0f007933dcbb,332 West 83rd Street House,LP-01676,,332 West 83rd Street House
6472e60f426b0f007933dcaf,316 West 85th Street House,LP-01677,,316 West 85th Street House
6472e5b0426b0f007933dcae,318 West 85th Street House,LP-01678,,318 West 85th Street House
6472e517426b0f007933dcad,320 West 85th Street House,LP-01679,,320 West 85th Street House
6472e492426b0f007933dcac,322 West 85th Street House,LP-01680,,322 West 85th Street House
6472e3b1426b0f007933dcab,324 West 85th Street House,LP-01681,,324 West 85th Street House
6472e355426b0f007933dcaa,326 West 85th Street House,LP-01682,,326 West 85th Street House
6472e2d0426b0f007933dca9,329 West 85th Street House,LP-01683,,329 West 85th Street House
6472df3c426b0f007933dca7,331 West 85th Street House,LP-01684,,331 West 85th Street House
6472dda3426b0f007933dca6,333 West 85th Street House,LP-01685,,333 West 85th Street House
6472dd2c426b0f007933dca5,335 West 85th Street House,LP-01686,,335 West 85th Street House
6472dc49426b0f007933dca3,337 West 85th Street House,LP-01687,,337 West 85th Street House
6473afb3426b0f007933dcbe,Charles A. Vissani Residence,LP-01689,,143 West 95th Street House (The Charles A. Vissani Residence)
64333512a90bce6b6c83baf4,Wonder Wheel,LP-01708,,The Wonder Wheel
643a10514ac6203737fd6e3c,Midtown Theater (now Metro Theater),LP-01710,Midtown Theater | Metro Theater,Midtown Theater (now Metro Theater)
6461bafae6fcaf3f17fab0b6,Frederick and Lydia Prentiss House,LP-01715,,The Prentiss Residence
